cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-06-07,0.0,16.833333333333332,85.25,2.0,2014,ALEGRETE
ALEGRETE,2014-06-08,0.0,10.666666666666666,76.625,2.0,2014,ALEGRETE
ALEGRETE,2014-06-09,0.0,4.5,79.54166666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-06-10,0.0,13.0,81.25,2.0,2014,ALEGRETE
ALEGRETE,2014-06-11,0.0,19.0,87.375,2.0,2014,ALEGRETE
ALEGRETE,2014-06-12,0.0,21.333333333333332,64.5,3.5,2014,ALEGRETE
ALEGRETE,2014-06-13,2.0,16.25,83.79166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-06-14,0.0,,83.95833333333333,5.0,2014,ALEGRETE
ALEGRETE,2014-06-15,0.0,20.0,81.95833333333333,2.6,2014,ALEGRETE
ALEGRETE,2014-06-16,0.0,17.0,89.5,1.0,2014,ALEGRETE
ALEGRETE,2014-06-17,0.0,9.0,86.375,1.0,2014,ALEGRETE
ALEGRETE,2014-06-18,0.0,11.2,72.16666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-06-19,0.0,12.666666666666666,78.54166666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-06-20,0.0,7.5,82.58333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-06-21,0.0,10.666666666666666,85.125,2.2,2014,ALEGRETE
ALEGRETE,2014-06-22,2.0,12.75,94.95833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-06-23,4.0,17.0,84.58333333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-06-24,0.0,17.333333333333332,89.79166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-06-25,0.0,16.666666666666668,92.70833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-06-26,0.0,15.0,91.45833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-06-27,0.0,15.0,90.5,5.0,2014,ALEGRETE
ALEGRETE,2014-06-28,6.0,13.75,90.33333333333333,4.0,2014,ALEGRETE
ALEGRETE,2014-06-29,0.0,13.5,85.16666666666667,3.75,2014,ALEGRETE
ALEGRETE,2014-06-30,0.0,12.0,87.33333333333333,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-07-01,0.0,10.0,89.95833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-07-02,0.0,11.666666666666666,86.16666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-07-03,0.0,,90.95833333333333,,2014,ALEGRETE
ALEGRETE,2014-07-04,0.0,21.5,91.04166666666667,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-07-05,0.0,24.5,73.375,,2014,ALEGRETE
ALEGRETE,2014-07-06,6.0,13.666666666666666,77.25,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-07-07,0.0,12.0,72.04166666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-07-08,0.0,9.5,81.375,1.0,2014,ALEGRETE
ALEGRETE,2014-07-09,0.0,15.0,82.91666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-07-10,0.0,14.5,86.125,3.5,2014,ALEGRETE
ALEGRETE,2014-07-11,0.0,18.333333333333332,82.70833333333333,3.5,2014,ALEGRETE
ALEGRETE,2014-07-12,0.0,16.0,82.29166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-07-13,0.0,17.5,77.66666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-07-14,0.0,17.666666666666668,72.29166666666667,,2014,ALEGRETE
ALEGRETE,2014-07-15,0.0,24.0,69.79166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-07-16,1.0,19.8,79.125,2.0,2014,ALEGRETE
ALEGRETE,2014-07-17,3.0,19.333333333333332,89.25,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-07-18,0.0,12.2,79.375,2.0,2014,ALEGRETE
ALEGRETE,2014-07-19,0.0,14.5,76.125,1.0,2014,ALEGRETE
ALEGRETE,2014-07-20,0.0,11.0,76.70833333333333,,2014,ALEGRETE
ALEGRETE,2014-07-21,0.0,,71.70833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-07-22,0.0,15.0,74.95833333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-07-23,5.0,14.0,94.54166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-07-24,0.0,11.5,80.16666666666667,4.0,2014,ALEGRETE
ALEGRETE,2014-07-25,0.0,8.333333333333334,80.20833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-07-26,0.0,8.0,78.0,,2014,ALEGRETE
ALEGRETE,2014-07-27,0.0,12.0,76.0,2.0,2014,ALEGRETE
ALEGRETE,2014-07-28,0.0,14.5,75.625,,2014,ALEGRETE
ALEGRETE,2014-07-29,0.0,18.0,79.95833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-07-30,0.0,,85.66666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-07-31,0.0,23.5,83.70833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-08-01,2.0,18.333333333333332,90.41666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-08-02,0.0,17.0,79.58333333333333,1.25,2014,ALEGRETE
ALEGRETE,2014-08-03,0.0,23.0,65.625,3.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-08-04,0.0,16.0,67.41666666666667,3.6,2014,ALEGRETE
ALEGRETE,2014-08-05,0.0,10.666666666666666,67.16666666666667,1.3333333333333333,2014,ALEGRETE
ALEGRETE,2014-08-06,0.0,15.75,65.08333333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-08-07,0.0,18.5,86.0,2.0,2014,ALEGRETE
ALEGRETE,2014-08-08,0.0,12.666666666666666,74.25,2.0,2014,ALEGRETE
ALEGRETE,2014-08-09,0.0,,80.125,1.0,2014,ALEGRETE
ALEGRETE,2014-08-10,0.0,19.4,82.58333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-08-11,0.0,18.0,84.54166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-08-12,0.0,14.0,74.20833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-08-13,0.0,8.0,59.166666666666664,1.5,2014,ALEGRETE
ALEGRETE,2014-08-14,0.0,4.8,66.375,2.0,2014,ALEGRETE
ALEGRETE,2014-08-15,0.0,15.0,68.75,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-08-16,0.0,17.0,82.95833333333333,,2014,ALEGRETE
ALEGRETE,2014-08-17,0.0,15.0,89.41666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-08-18,0.0,15.0,81.54166666666667,1.75,2014,ALEGRETE
ALEGRETE,2014-08-19,0.0,13.0,77.91666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-08-20,0.0,,74.33333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-08-21,0.0,19.6,73.375,1.4,2014,ALEGRETE
ALEGRETE,2014-08-22,0.0,13.0,66.0,1.5,2014,ALEGRETE
ALEGRETE,2014-08-23,0.0,17.0,71.41666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-08-24,0.0,25.0,52.291666666666664,1.5,2014,ALEGRETE
ALEGRETE,2014-08-25,0.0,12.0,66.70833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-08-26,0.0,10.666666666666666,64.33333333333333,2.2,2014,ALEGRETE
ALEGRETE,2014-08-27,0.0,9.666666666666666,68.58333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-08-28,0.0,9.25,69.91666666666667,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-08-29,0.0,12.666666666666666,70.66666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-08-30,0.0,21.666666666666668,71.54166666666667,2.0,2014,ALEGRETE
