Unidade de Medida,valor,cod_municipio,ano,variavel,produto
Hectares,850.0,4300059,2016,Área plantada,Milho
Hectares,13800.0,4300059,2016,Área plantada,Soja
Hectares,1400.0,4300059,2016,Área plantada,Trigo
Hectares,7.0,4300059,2016,Área colhida,Fumo
Hectares,850.0,4300059,2016,Área colhida,Milho
Hectares,13800.0,4300059,2016,Área colhida,Soja
Hectares,1400.0,4300059,2016,Área colhida,Trigo
Toneladas,12.0,4300059,2016,Quantidade produzida,Fumo
Toneladas,8160.0,4300059,2016,Quantidade produzida,Milho
Toneladas,53820.0,4300059,2016,Quantidade produzida,Soja
Toneladas,5880.0,4300059,2016,Quantidade produzida,Trigo
Quilogramas por Hectare,1714.0,4300059,2016,Rendimento médio da produção,Fumo
Quilogramas por Hectare,9600.0,4300059,2016,Rendimento médio da produção,Milho
Quilogramas por Hectare,3900.0,4300059,2016,Rendimento médio da produção,Soja
Quilogramas por Hectare,4200.0,4300059,2016,Rendimento médio da produção,Trigo
Mil Reais,114.0,4300059,2016,Valor da produção,Fumo
Mil Reais,4978.0,4300059,2016,Valor da produção,Milho
Mil Reais,61699.0,4300059,2016,Valor da produção,Soja
Mil Reais,2940.0,4300059,2016,Valor da produção,Trigo
Hectares,7.0,4300059,2017,Área plantada,Fumo
Hectares,850.0,4300059,2017,Área plantada,Milho
Hectares,13800.0,4300059,2017,Área plantada,Soja
Hectares,1100.0,4300059,2017,Área plantada,Trigo
Hectares,7.0,4300059,2017,Área colhida,Fumo
Hectares,850.0,4300059,2017,Área colhida,Milho
Hectares,13800.0,4300059,2017,Área colhida,Soja
Hectares,1100.0,4300059,2017,Área colhida,Trigo
Toneladas,13.0,4300059,2017,Quantidade produzida,Fumo
Toneladas,7650.0,4300059,2017,Quantidade produzida,Milho
Toneladas,53820.0,4300059,2017,Quantidade produzida,Soja
Toneladas,2970.0,4300059,2017,Quantidade produzida,Trigo
Quilogramas por Hectare,1857.0,4300059,2017,Rendimento médio da produção,Fumo
